めいちょう,鳴潮,固有名詞,
つなみきゅう,津波級,名詞,
どとうきゅう,怒涛級,名詞,
きょろうきゅう,巨浪級,名詞,
すいふうきゅう,水風級,名詞,
きょうめいかいほう,共鳴開放,名詞,
きょうめいかいろ,共鳴回路,名詞,
しゅうそう,終奏,名詞,
へんそう,変奏,名詞,
きょうそう,協奏,名詞,
きょうしんど,共振度,名詞,
おんがい,音骸,名詞,
けっしょうはちょうばん,結晶波長板,名詞,
けっしょうはちょうようざい,結晶波長溶剤,名詞,
けっしょうはちょうせいれんばん,結晶波長精錬板,名詞,
ぎょうそりょういき,凝素領域,名詞,
はんきょうりょういき,反響領域,名詞,
かいしょく,海蝕,名詞,
ざんじょうちょう,残像潮,名詞,
てんくうかい,天空海,名詞,
そかいあめ,溯洄雨,名詞,
めいしき,鳴式,名詞,
むそうせんしゅ,無相燹主,名詞,
そのら,音場,名詞,
おんこう,音匣,名詞,
おんこん,音痕,名詞,
さいしゅ,歳主,名詞,
しんごうとう,信号塔,名詞,
れいいん,令尹,名詞,
こんれいいん,今令尹,名詞,
かじょりん,哥舒臨,名詞,
けいとかい,競渡会,名詞,
げっついさい,月追祭,名詞,
しゅんりゅうさい,春龍祭,名詞,
いんかいきょうだん,隠海教団,名詞,
かいゆうのくじら,回遊の鯨,名詞,
そりゅうき,溯流器,名詞,
しょくてい,稷廷,名詞,
ぎょうしゅく,凝縮,名詞,
しょうねつ,焦熱,名詞,
でんどう,電導,名詞,
きどう,気動,名詞,
かいせつ,回折,名詞,
しょうめつ,消滅,名詞,
